job_id,seeker_id,job_skills,seeker_skills,job_experience_level,seeker_experience_years,job_location,seeker_location,job_salary_min,seeker_salary_expectation,selected
96145dff-2bfc-4c92-b1ff-3f982e269d0f,a0e0ba2b-5f09-434d-9ded-3b950d1848d4,Driving|Route Planning|Dispatch|Special Needs|Route Planning,Dispatch|Route Planning|Logistics|Lab Work|AutoCAD,MID,7,Zanzibar,Dar es Salaam,8885620,9541078,0
96145dff-2bfc-4c92-b1ff-3f982e269d0f,945bb68f-dcad-403d-9696-cbd0ffe8598d,Driving|Route Planning|Dispatch|Special Needs|Route Planning,AutoCAD|Site Management|Safety Compliance|Android,MID,8,Zanzibar,Morogoro,8885620,12409554,0
96145dff-2bfc-4c92-b1ff-3f982e269d0f,b93ac5be-2eab-45d1-893a-b85dbb275987,Driving|Route Planning|Dispatch|Special Needs|Route Planning,Grid Management|Renewables|Energy Auditing|Flutter,MID,14,Zanzibar,Tanga,8885620,6896274,0
5011d57e-00a7-4500-b1ff-213db5a1b4ad,c143b91e-63dd-4144-915e-39049745c102,Maintenance|Energy Auditing|Electrical Engineering|Financial Analysis,Irrigation|Agribusiness|Crop Science,ENTRY,5,Arusha,Dodoma,8074176,11887584,0
5011d57e-00a7-4500-b1ff-213db5a1b4ad,dea65f20-82a9-455a-81b1-1b76c282e721,Maintenance|Energy Auditing|Electrical Engineering|Financial Analysis,Site Management|Civil Engineering|Safety Compliance|Electrical Engineering|Excel,ENTRY,8,Arusha,Morogoro,8074176,5978345,0
3408b27a-f183-4983-bfb4-80baad2af18f,48106806-e11d-4be9-8995-95acebf692f6,Flutter|Networking|React|Python,Public Health|Lab Work|Clinical Research|Lab Work|eLearning,ENTRY,11,Zanzibar,Moshi,6469743,5899832,0
3408b27a-f183-4983-bfb4-80baad2af18f,7756c8bf-f972-4419-aaca-9947e5d32b3d,Flutter|Networking|React|Python,Civil Engineering|Site Management|Safety Compliance|Auditing,ENTRY,5,Zanzibar,Mbeya,6469743,12628722,0
3408b27a-f183-4983-bfb4-80baad2af18f,6862f198-af7b-4b4b-b430-09b31648f696,Flutter|Networking|React|Python,Travel Planning|Event Planning|Customer Service|AutoCAD|Dispatch,ENTRY,14,Zanzibar,Dar es Salaam,6469743,10537463,0
3408b27a-f183-4983-bfb4-80baad2af18f,93b6109e-7bdf-4b9b-bd28-ecf10be11782,Flutter|Networking|React|Python,Livestock|Irrigation|Soil Science|Django,ENTRY,7,Zanzibar,Mbeya,6469743,11475479,0
3408b27a-f183-4983-bfb4-80baad2af18f,591c03f1-2688-4edd-be3c-dbb1ebc63dbe,Flutter|Networking|React|Python,eLearning|Special Needs|Teaching|Dispatch|Fleet Management,ENTRY,7,Zanzibar,Mbeya,6469743,12664927,0
477fab82-5182-4bba-8ec7-13a411aad7b3,834a25a7-87b2-4532-80a7-225641eeeb6b,Teaching|Curriculum Design|Special Needs|Travel Planning|Auditing,Soil Science|Livestock|Crop Science|Event Planning|Networking,MID,8,Morogoro,Kilimanjaro,13320087,5837159,0
477fab82-5182-4bba-8ec7-13a411aad7b3,270e75db-384f-4a74-b055-6b518f62d99b,Teaching|Curriculum Design|Special Needs|Travel Planning|Auditing,Dispatch|Route Planning|Fleet Management,MID,11,Morogoro,Mwanza,13320087,5123636,0
477fab82-5182-4bba-8ec7-13a411aad7b3,945bb68f-dcad-403d-9696-cbd0ffe8598d,Teaching|Curriculum Design|Special Needs|Travel Planning|Auditing,AutoCAD|Site Management|Safety Compliance|Android,MID,8,Morogoro,Morogoro,13320087,12409554,0
477fab82-5182-4bba-8ec7-13a411aad7b3,8bc0be6d-6bcb-4a96-8883-d702a8086bac,Teaching|Curriculum Design|Special Needs|Travel Planning|Auditing,Hotel Management|Tour Guiding|Event Planning|Customer Service|Patient Care,MID,8,Morogoro,Morogoro,13320087,15758263,0
477fab82-5182-4bba-8ec7-13a411aad7b3,38fa4ab5-6a85-4670-8120-1ed3e9b39702,Teaching|Curriculum Design|Special Needs|Travel Planning|Auditing,Grid Management|Maintenance|Electrical Engineering|Soil Science,MID,8,Morogoro,Mwanza,13320087,4366975,0
477fab82-5182-4bba-8ec7-13a411aad7b3,9b9ef669-a307-4c6b-acdf-2b664e63c7a1,Teaching|Curriculum Design|Special Needs|Travel Planning|Auditing,Tax|Auditing|Financial Analysis,MID,6,Morogoro,Moshi,13320087,15744102,0
477fab82-5182-4bba-8ec7-13a411aad7b3,1f9fea4f-77d8-4a07-88ea-28a0e66f6d53,Teaching|Curriculum Design|Special Needs|Travel Planning|Auditing,Surveying|Safety Compliance|Site Management,MID,14,Morogoro,Morogoro,13320087,4438690,0
0a21da49-2e42-4d1e-bbac-88b781c6df65,9a52f9cc-cae1-4514-becb-cbb8d52b0400,Civil Engineering|Site Management|Surveying,Crop Science|Livestock|Irrigation|Event Planning,MID,2,Tanga,Moshi,9052014,5075633,0
0a21da49-2e42-4d1e-bbac-88b781c6df65,dc49d71e-196e-4801-8cae-a045f97bf412,Civil Engineering|Site Management|Surveying,Grid Management|Renewables|Electrical Engineering|Customer Service|Python,MID,1,Tanga,Dodoma,9052014,17539377,0
0a21da49-2e42-4d1e-bbac-88b781c6df65,966bf7d0-8b63-4165-8319-5e1f4009e579,Civil Engineering|Site Management|Surveying,eLearning|Curriculum Design|Teaching|Travel Planning|Python,MID,6,Tanga,Dodoma,9052014,13245953,0
0a21da49-2e42-4d1e-bbac-88b781c6df65,499f285a-2a4f-41f9-a915-440ffb91143d,Civil Engineering|Site Management|Surveying,Irrigation|Soil Science|Crop Science,MID,1,Tanga,Moshi,9052014,10693050,0
0a21da49-2e42-4d1e-bbac-88b781c6df65,1c0078a8-3cf9-4272-9af7-6fdf20f3a9de,Civil Engineering|Site Management|Surveying,Hotel Management|Customer Service|Event Planning,MID,13,Tanga,Tanga,9052014,17953781,0
0a21da49-2e42-4d1e-bbac-88b781c6df65,98615570-4c3a-428e-9f28-874477b94030,Civil Engineering|Site Management|Surveying,Travel Planning|Event Planning|Customer Service|Maintenance|Android,MID,9,Tanga,Dodoma,9052014,8688429,0
0a21da49-2e42-4d1e-bbac-88b781c6df65,7a622186-b13e-4d79-a57d-a873a3beda06,Civil Engineering|Site Management|Surveying,Nursing|Patient Care|Lab Work|eLearning|Python,MID,15,Tanga,Dar es Salaam,9052014,16973822,0
833734b1-a8d6-4f81-929e-a1c2c095a8b6,cd458dad-4992-4b12-b9be-0cbdc2ccfa48,Customer Service|Travel Planning|Hotel Management,Tour Guiding|Customer Service|Hotel Management|Teaching|Maintenance,ENTRY,12,Kilimanjaro,Tanga,14934434,15335174,0
833734b1-a8d6-4f81-929e-a1c2c095a8b6,f5cc83a0-3924-41b6-a2b8-ccc6b8f422fa,Customer Service|Travel Planning|Hotel Management,eLearning|Curriculum Design|Counseling,ENTRY,13,Kilimanjaro,Kilimanjaro,14934434,14114400,0
833734b1-a8d6-4f81-929e-a1c2c095a8b6,cf26518c-ae87-4e2f-802b-1ab3810fbcce,Customer Service|Travel Planning|Hotel Management,Nursing|Clinical Research|Lab Work|Route Planning,ENTRY,12,Kilimanjaro,Kilimanjaro,14934434,16640019,0
833734b1-a8d6-4f81-929e-a1c2c095a8b6,98615570-4c3a-428e-9f28-874477b94030,Customer Service|Travel Planning|Hotel Management,Travel Planning|Event Planning|Customer Service|Maintenance|Android,ENTRY,9,Kilimanjaro,Dodoma,14934434,8688429,1
833734b1-a8d6-4f81-929e-a1c2c095a8b6,670af1c0-4c27-415b-8e5c-4153ae2dd315,Customer Service|Travel Planning|Hotel Management,Django|Networking|Flutter|Curriculum Design,ENTRY,1,Kilimanjaro,Dar es Salaam,14934434,10700234,0
2c219cce-eb88-4c08-8ad6-e2f2d38f893c,79bee357-4804-44bd-a5a4-1f2bc31f1a6d,Customer Service|Hotel Management|Event Planning,Tax|Financial Analysis|Excel|Soil Science,ENTRY,10,Dar es Salaam,Kilimanjaro,4208569,12486382,0
2c219cce-eb88-4c08-8ad6-e2f2d38f893c,ee4acff2-9372-47db-9d9f-f3545413047e,Customer Service|Hotel Management|Event Planning,Agribusiness|Livestock|Irrigation,ENTRY,7,Dar es Salaam,Mwanza,4208569,13105956,0
920f5dbb-93c6-4dfa-9759-eb11d162c71b,fb71dcbc-0bbc-48e6-9eb2-753b2cb8aa62,Flutter|Django|Android|Customer Service|Django,Tax|Auditing|Financial Analysis|Patient Care,ENTRY,13,Dar es Salaam,Zanzibar,12012127,3491047,0
920f5dbb-93c6-4dfa-9759-eb11d162c71b,f3ea4fa0-5c81-412e-9a7a-e2353af1c504,Flutter|Django|Android|Customer Service|Django,Accounting|Auditing|Financial Analysis|AutoCAD|Irrigation,ENTRY,12,Dar es Salaam,Zanzibar,12012127,14700452,0
920f5dbb-93c6-4dfa-9759-eb11d162c71b,ca749cf5-e70d-4475-806d-314818d65733,Flutter|Django|Android|Customer Service|Django,Hotel Management|Customer Service|Travel Planning|SQL,ENTRY,15,Dar es Salaam,Zanzibar,12012127,12382412,0
920f5dbb-93c6-4dfa-9759-eb11d162c71b,727a58b5-e36e-4c58-8993-bccb73e6c14d,Flutter|Django|Android|Customer Service|Django,Financial Analysis|Accounting|Excel|Auditing,ENTRY,5,Dar es Salaam,Mbeya,12012127,10654634,0
920f5dbb-93c6-4dfa-9759-eb11d162c71b,bdd5c7d1-2faa-4f44-8420-1d1645144624,Flutter|Django|Android|Customer Service|Django,Teaching|Special Needs|eLearning|Livestock|Teaching,ENTRY,12,Dar es Salaam,Tanga,12012127,11515514,0
b9ab3de0-75a8-4529-ad22-43ec6c16e39a,b91d987e-fc4c-4a59-bcd7-edaed1b12fad,Electrical Engineering|Renewables|Energy Auditing,Teaching|eLearning|Counseling,SENIOR,2,Morogoro,Mwanza,3874424,5056673,0
b9ab3de0-75a8-4529-ad22-43ec6c16e39a,9869cec1-71b3-47a9-802e-fb02b1c1a58b,Electrical Engineering|Renewables|Energy Auditing,Irrigation|Crop Science|Soil Science|Excel|Soil Science,SENIOR,8,Morogoro,Dodoma,3874424,5773660,0
b9ab3de0-75a8-4529-ad22-43ec6c16e39a,40382670-d99e-4895-a283-7ef76b0f3854,Electrical Engineering|Renewables|Energy Auditing,Accounting|Financial Analysis|Auditing,SENIOR,7,Morogoro,Mwanza,3874424,15685955,0
b9ab3de0-75a8-4529-ad22-43ec6c16e39a,75118958-491e-437f-8289-83880bb776af,Electrical Engineering|Renewables|Energy Auditing,Lab Work|Nursing|Public Health,SENIOR,1,Morogoro,Dar es Salaam,3874424,9221527,0
6d5d4af4-d7cc-4ec2-b55f-0cb0d626116a,7fbb1003-3bae-4806-a874-928a81a85022,Irrigation|Agribusiness|Livestock|Civil Engineering|Special Needs,Excel|Accounting|Auditing|Public Health,MID,5,Morogoro,Mbeya,4549677,9765845,0
6d5d4af4-d7cc-4ec2-b55f-0cb0d626116a,31775e77-d9a8-455e-a82c-fcc84c108b49,Irrigation|Agribusiness|Livestock|Civil Engineering|Special Needs,Cloud|Python|React|Travel Planning,MID,13,Morogoro,Moshi,4549677,13670928,0
6d5d4af4-d7cc-4ec2-b55f-0cb0d626116a,9c988f4b-ac7b-4b93-9d87-9c34a5eddab1,Irrigation|Agribusiness|Livestock|Civil Engineering|Special Needs,Lab Work|Public Health|Patient Care,MID,6,Morogoro,Dar es Salaam,4549677,4364828,0
6d5d4af4-d7cc-4ec2-b55f-0cb0d626116a,8dccce75-f29d-473b-a297-587759005280,Irrigation|Agribusiness|Livestock|Civil Engineering|Special Needs,Energy Auditing|Grid Management|Maintenance|Driving|Cloud,MID,5,Morogoro,Mwanza,4549677,6629243,0
6d5d4af4-d7cc-4ec2-b55f-0cb0d626116a,96de2d5a-f922-48a7-9b8c-016fda4a9d49,Irrigation|Agribusiness|Livestock|Civil Engineering|Special Needs,Route Planning|Logistics|Fleet Management,MID,14,Morogoro,Morogoro,4549677,14074583,0
6d5d4af4-d7cc-4ec2-b55f-0cb0d626116a,f2a4f10f-8262-42f0-97cd-af41fc488635,Irrigation|Agribusiness|Livestock|Civil Engineering|Special Needs,Python|React|Android|Clinical Research,MID,1,Morogoro,Morogoro,4549677,10477930,0
6d5d4af4-d7cc-4ec2-b55f-0cb0d626116a,966bf7d0-8b63-4165-8319-5e1f4009e579,Irrigation|Agribusiness|Livestock|Civil Engineering|Special Needs,eLearning|Curriculum Design|Teaching|Travel Planning|Python,MID,6,Morogoro,Dodoma,4549677,13245953,0
6d5d4af4-d7cc-4ec2-b55f-0cb0d626116a,d4e45707-62f8-4175-876e-8e9a982a167f,Irrigation|Agribusiness|Livestock|Civil Engineering|Special Needs,Livestock|Irrigation|Soil Science|Logistics,MID,3,Morogoro,Dodoma,4549677,12814924,0
6d5d4af4-d7cc-4ec2-b55f-0cb0d626116a,68056845-7e16-416e-8ce9-6ba9a119ce41,Irrigation|Agribusiness|Livestock|Civil Engineering|Special Needs,Dispatch|Fleet Management|Route Planning|Accounting,MID,4,Morogoro,Mwanza,4549677,5006920,0
6d5d4af4-d7cc-4ec2-b55f-0cb0d626116a,fc68c7e1-cb53-403d-9d1b-424c54fb48f3,Irrigation|Agribusiness|Livestock|Civil Engineering|Special Needs,Grid Management|Maintenance|Energy Auditing|Dispatch,MID,8,Morogoro,Mwanza,4549677,3210126,0
e0047d6a-b0b9-4fdd-bc88-28b3203c3eae,6484d434-4f22-4d08-aeed-6433fb81a469,Counseling|Special Needs|eLearning,Agribusiness|Livestock|Crop Science|Surveying,MID,13,Kilimanjaro,Mbeya,7315675,12555129,0
e0047d6a-b0b9-4fdd-bc88-28b3203c3eae,7ec5a3df-ed2d-43a7-b10e-a98256e9535d,Counseling|Special Needs|eLearning,Soil Science|Crop Science|Agribusiness|Livestock,MID,15,Kilimanjaro,Arusha,7315675,6910692,0
e0047d6a-b0b9-4fdd-bc88-28b3203c3eae,440f779d-87b3-486c-aa43-18981b577854,Counseling|Special Needs|eLearning,React|Cloud|Networking|AutoCAD|Hotel Management,MID,2,Kilimanjaro,Dodoma,7315675,5968087,0
e0047d6a-b0b9-4fdd-bc88-28b3203c3eae,d38b7e4e-1a9f-4621-9a8b-ad873da56532,Counseling|Special Needs|eLearning,Django|Networking|Android|Nursing|Logistics,MID,6,Kilimanjaro,Zanzibar,7315675,12091580,0
e0047d6a-b0b9-4fdd-bc88-28b3203c3eae,5495497c-ee34-4fe2-9fad-a972e3be86ee,Counseling|Special Needs|eLearning,Hotel Management|Event Planning|Travel Planning|Counseling,MID,5,Kilimanjaro,Dodoma,7315675,17440922,0
e0047d6a-b0b9-4fdd-bc88-28b3203c3eae,c2e3f76a-1ad7-4d82-8f04-98f68fa57199,Counseling|Special Needs|eLearning,Renewables|Maintenance|Electrical Engineering,MID,13,Kilimanjaro,Zanzibar,7315675,4058847,0
e0047d6a-b0b9-4fdd-bc88-28b3203c3eae,0d71477a-6294-4a5b-af09-82f12c30ff63,Counseling|Special Needs|eLearning,Route Planning|Driving|Logistics,MID,6,Kilimanjaro,Zanzibar,7315675,13178678,0
e0047d6a-b0b9-4fdd-bc88-28b3203c3eae,22c97919-9388-436a-adf0-c51ddf348f3c,Counseling|Special Needs|eLearning,Customer Service|Travel Planning|Event Planning|Renewables|Energy Auditing,MID,12,Kilimanjaro,Zanzibar,7315675,8932828,0
4470c75e-00de-49b4-822d-66ae2543d32d,cd458dad-4992-4b12-b9be-0cbdc2ccfa48,Android|Flutter|Linux|Financial Analysis,Tour Guiding|Customer Service|Hotel Management|Teaching|Maintenance,MID,12,Mbeya,Tanga,14410905,15335174,0
4470c75e-00de-49b4-822d-66ae2543d32d,8ca0844f-0140-49a6-9a49-1fcbfee13bbe,Android|Flutter|Linux|Financial Analysis,eLearning|Counseling|Teaching|Crop Science|Event Planning,MID,15,Mbeya,Kilimanjaro,14410905,4618757,0
4470c75e-00de-49b4-822d-66ae2543d32d,e8ac4dc3-5d97-4fba-ad88-4df66aaaa6bc,Android|Flutter|Linux|Financial Analysis,Event Planning|Customer Service|Hotel Management|Site Management|Curriculum Design,MID,3,Mbeya,Mwanza,14410905,17028890,0
4470c75e-00de-49b4-822d-66ae2543d32d,5e588044-ed90-46f9-aadb-37ce237726fb,Android|Flutter|Linux|Financial Analysis,Irrigation|Soil Science|Agribusiness|Surveying,MID,13,Mbeya,Dodoma,14410905,16243816,0
dde59c51-1b24-47e9-8111-e0f0310a4658,bc88f0c1-55a2-4bbd-a903-ceea9e5d5d42,Surveying|Safety Compliance|Site Management|Tax,Grid Management|Maintenance|Renewables|Energy Auditing,ENTRY,14,Kilimanjaro,Arusha,7030799,9003984,0
dde59c51-1b24-47e9-8111-e0f0310a4658,1e3383bc-e446-4e23-a480-51bb738330bb,Surveying|Safety Compliance|Site Management|Tax,Logistics|Dispatch|Fleet Management,ENTRY,6,Kilimanjaro,Morogoro,7030799,8832892,0
dde59c51-1b24-47e9-8111-e0f0310a4658,9a52f9cc-cae1-4514-becb-cbb8d52b0400,Surveying|Safety Compliance|Site Management|Tax,Crop Science|Livestock|Irrigation|Event Planning,ENTRY,2,Kilimanjaro,Moshi,7030799,5075633,0
dde59c51-1b24-47e9-8111-e0f0310a4658,2a3af289-5813-461e-a5c3-a948cd5231a4,Surveying|Safety Compliance|Site Management|Tax,Teaching|eLearning|Curriculum Design|Tour Guiding|Networking,ENTRY,9,Kilimanjaro,Mbeya,7030799,8924751,0
103b266e-28cb-4f42-90a4-7d61c0172c89,28927c02-b663-4975-b07b-5cae84f950b5,Tax|Excel|Accounting|Driving|Tax,Driving|Route Planning|Dispatch|Auditing,MID,12,Dar es Salaam,Tanga,7658403,11468416,0
103b266e-28cb-4f42-90a4-7d61c0172c89,995ee62f-c94e-40d2-86cf-8e87a54140ec,Tax|Excel|Accounting|Driving|Tax,Public Health|Nursing|Clinical Research|React,MID,1,Dar es Salaam,Tanga,7658403,17325655,0
103b266e-28cb-4f42-90a4-7d61c0172c89,468b7341-dfca-4205-9c5d-43d4ef0f3071,Tax|Excel|Accounting|Driving|Tax,Lab Work|Public Health|Nursing|Maintenance,MID,2,Dar es Salaam,Dodoma,7658403,5196338,0
103b266e-28cb-4f42-90a4-7d61c0172c89,4dd2f823-0a68-4209-a69c-4656540f71a4,Tax|Excel|Accounting|Driving|Tax,Dispatch|Route Planning|Driving,MID,3,Dar es Salaam,Morogoro,7658403,7255425,0
103b266e-28cb-4f42-90a4-7d61c0172c89,bea900ec-bb4a-41aa-b0a5-58a84b83506e,Tax|Excel|Accounting|Driving|Tax,Dispatch|Logistics|Route Planning|Maintenance|Travel Planning,MID,0,Dar es Salaam,Mbeya,7658403,14816291,0
103b266e-28cb-4f42-90a4-7d61c0172c89,9046899e-070a-4dd4-a2a2-e19e08e19fd2,Tax|Excel|Accounting|Driving|Tax,Renewables|Maintenance|Grid Management|Logistics|React,MID,7,Dar es Salaam,Kilimanjaro,7658403,17957423,0
103b266e-28cb-4f42-90a4-7d61c0172c89,6a7a0791-712a-4816-92e7-2ca26412671b,Tax|Excel|Accounting|Driving|Tax,Tax|Accounting|Auditing|Lab Work,MID,2,Dar es Salaam,Moshi,7658403,12914080,0
b708cc2d-1164-46c3-abef-e35bf8a98398,487e8063-eec2-43f4-88a9-114a176878c4,Electrical Engineering|Energy Auditing|Renewables|Flutter|Curriculum Design,Nursing|Public Health|Lab Work,SENIOR,1,Kilimanjaro,Zanzibar,7922502,14319904,0
b708cc2d-1164-46c3-abef-e35bf8a98398,c8592169-4f63-4a19-81aa-354e0ef8819c,Electrical Engineering|Energy Auditing|Renewables|Flutter|Curriculum Design,Cloud|Networking|Python,SENIOR,10,Kilimanjaro,Tanga,7922502,4562650,0
b708cc2d-1164-46c3-abef-e35bf8a98398,af839698-c035-443f-ad9f-3da155af4527,Electrical Engineering|Energy Auditing|Renewables|Flutter|Curriculum Design,Crop Science|Agribusiness|Livestock|Soil Science|React,SENIOR,10,Kilimanjaro,Arusha,7922502,17449757,0
b708cc2d-1164-46c3-abef-e35bf8a98398,9a693618-7db5-4710-947f-75ea5d7a4667,Electrical Engineering|Energy Auditing|Renewables|Flutter|Curriculum Design,Civil Engineering|Surveying|Site Management,SENIOR,15,Kilimanjaro,Dar es Salaam,7922502,12733016,0
a8adb348-bdd5-411d-a646-0bfb8387e083,10ba2d1a-534a-4175-847c-9509555a6292,Linux|Android|Networking,Nursing|Public Health|Patient Care,MID,9,Dodoma,Zanzibar,7207044,5223959,0
a8adb348-bdd5-411d-a646-0bfb8387e083,c6da6b55-4e0d-4f21-837b-d227f9709556,Linux|Android|Networking,Driving|Route Planning|Logistics|Patient Care|Auditing,MID,9,Dodoma,Tanga,7207044,16481326,0
a8adb348-bdd5-411d-a646-0bfb8387e083,97bfd831-da48-42c8-9f90-917cbfec8e37,Linux|Android|Networking,Special Needs|eLearning|Counseling,MID,1,Dodoma,Mwanza,7207044,13069929,0
414e2572-cd97-486b-9cd1-923f16c5e1e9,61d43b94-3bce-4c3f-9ff7-438a8f8021fc,Travel Planning|Event Planning|Hotel Management,Networking|Django|React|Patient Care|Counseling,ENTRY,2,Kilimanjaro,Kilimanjaro,3711344,16390854,0
414e2572-cd97-486b-9cd1-923f16c5e1e9,37e9049f-4fcb-457a-bcc0-364882f0b0af,Travel Planning|Event Planning|Hotel Management,Safety Compliance|AutoCAD|Surveying|Crop Science,ENTRY,13,Kilimanjaro,Zanzibar,3711344,8472871,0
414e2572-cd97-486b-9cd1-923f16c5e1e9,8da194b8-4d30-4356-b2cb-b06c8660d1ff,Travel Planning|Event Planning|Hotel Management,Tax|Auditing|Excel,ENTRY,2,Kilimanjaro,Dodoma,3711344,13460451,0
414e2572-cd97-486b-9cd1-923f16c5e1e9,f4df6759-af45-434a-b4ae-a40558b3766a,Travel Planning|Event Planning|Hotel Management,Flutter|Django|Networking,ENTRY,3,Kilimanjaro,Dar es Salaam,3711344,17725586,0
414e2572-cd97-486b-9cd1-923f16c5e1e9,6e6e78fc-1130-44e5-8986-3c92178cd71d,Travel Planning|Event Planning|Hotel Management,Agribusiness|Crop Science|Irrigation,ENTRY,0,Kilimanjaro,Dar es Salaam,3711344,4784688,0
414e2572-cd97-486b-9cd1-923f16c5e1e9,548e3927-ade2-4a33-9a1a-49c638a0de14,Travel Planning|Event Planning|Hotel Management,Electrical Engineering|Renewables|Grid Management|Python|Networking,ENTRY,9,Kilimanjaro,Mwanza,3711344,16277652,0
414e2572-cd97-486b-9cd1-923f16c5e1e9,c32f3421-756f-4d72-b266-1d31dc137fcb,Travel Planning|Event Planning|Hotel Management,Teaching|Counseling|Special Needs|Patient Care,ENTRY,12,Kilimanjaro,Tanga,3711344,13642758,0
414e2572-cd97-486b-9cd1-923f16c5e1e9,ac6951be-8738-4635-8299-1bbbb99e25a1,Travel Planning|Event Planning|Hotel Management,Teaching|Special Needs|Curriculum Design|Clinical Research|Nursing,ENTRY,6,Kilimanjaro,Zanzibar,3711344,6705344,0
414e2572-cd97-486b-9cd1-923f16c5e1e9,a0126920-a189-47d3-954c-009e632e6d87,Travel Planning|Event Planning|Hotel Management,Accounting|Tax|Auditing|Patient Care|Surveying,ENTRY,12,Kilimanjaro,Dar es Salaam,3711344,6241095,0
414e2572-cd97-486b-9cd1-923f16c5e1e9,69be2067-5e66-459b-9e88-f30298037a2e,Travel Planning|Event Planning|Hotel Management,Special Needs|eLearning|Teaching|Excel,ENTRY,2,Kilimanjaro,Moshi,3711344,16120715,0
8e2bd61a-57f4-42c0-bf94-0c6f612b6691,46ea7419-1070-4890-bde8-679a974ea8ea,Safety Compliance|AutoCAD|Civil Engineering,Patient Care|Lab Work|Clinical Research|Energy Auditing|Event Planning,ENTRY,3,Mbeya,Mwanza,9912071,13760678,0
8e2bd61a-57f4-42c0-bf94-0c6f612b6691,66956057-0574-4488-a246-d11bf62f49ea,Safety Compliance|AutoCAD|Civil Engineering,Route Planning|Logistics|Dispatch|Excel|Auditing,ENTRY,8,Mbeya,Zanzibar,9912071,6449512,0
0eb8e731-0111-470e-a135-943869034d91,0599eb87-cfc5-45c1-bead-a3363aefc07d,Route Planning|Driving|Fleet Management,Financial Analysis|Tax|Accounting|Customer Service,ENTRY,8,Tanga,Moshi,11968427,11152808,0
0eb8e731-0111-470e-a135-943869034d91,269a8d4b-9c0c-4af2-9e0c-46fed6170a82,Route Planning|Driving|Fleet Management,Excel|Auditing|Financial Analysis,ENTRY,12,Tanga,Tanga,11968427,7895768,0
